post_datetime,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral,platform_TikTok,platform_X,platform_YouTube Shorts,content_type_image,content_type_text,content_type_video,topic_Entertainment,topic_Lifestyle,topic_Politics,topic_Sports,topic_Technology,language_es,language_fr,language_hi,language_ur,region_India,region_Pakistan,region_UK,region_US,ai,funny,fyp,music,news,tech,trending,viral
2024-02-27,95925,6395,12188,29300,0.4992,0.871,0,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.44859072510085396,0.0,0.4549036915244101,0.0,0.44549475930518984,0.45172668686242745,0.4350935676367325,0.0
2024-01-07,6426792,267783,42410,53352,0.0566,0.161,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.5803494024437424,0.0,0.5885165937978092,0.0,0.0,0.0,0.5628879017245046,0.0
2024-11-06,2718149,388307,2562,38361,0.1579,0.947,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5006401521408737,0.0,0.5076856042510101,0.0,0.49718496526286643,0.0,0.0,0.49439040809588114
2024-09-19,10159886,461813,46980,21358,0.0522,-0.029,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.7024560953520842,0.7117270783823695,0.0,0.0,0.0
2024-02-19,1286430,257286,46765,94180,0.3096,-0.964,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0.0,0.7134373910665139,0.0,0.0,0.0,0.0,0.7007189800684767,0.0
2024-09-10,9902368,353656,21300,3988,0.0383,0.299,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,0.5015406134249801,0.4952796284666808,0.0,0.0,0.49807921197948424,0.5050467318032039,0.0,0.0
2024-09-14,2197650,439530,33991,86417,0.2548,0.085,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.0,0.0,0.0,0.5740412849187333,0.0,0.58975357303861,0.5680381380656078,0.0
2024-09-19,2903850,107550,40823,45526,0.0668,-0.499,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7007189800684767,0.7134373910665139
2024-06-14,1980177,116481,14378,47334,0.09,-0.027,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0.5049377189273292,0.4986343261841314,0.0,0.4949209287224235,0.5014528722301795,0.0,0.0,0.0
2024-12-13,2395266,399211,19743,30747,0.1877,-0.3,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.0,0.0,0.5837689674079595,0.0,0.0,0.5796919797608359,0.0,0.5684813112956374
2024-10-08,3241188,360132,39795,5601,0.1251,-0.54,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0.0,0.44650730735970595,0.0,0.0,0.4490312038096779,0.4553126019061347,0.4385474449811188,0.44650730735970595
2024-07-16,1440005,205715,45719,56836,0.2141,0.537,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,0.7115340533700861,0.702651614169309,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-13,1909494,106083,8213,56492,0.0894,0.83,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.0,0.7097446247699346,0.0,0.7044590602797189,0.0,0.0,0.0,0.0
2024-04-20,1605366,178374,32640,63209,0.1708,0.857,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.5031657456791411,0.0,0.49941860212181344,0.0,0.0,0.49419583628861324,0.5031657456791411
2024-05-01,2512972,358996,306,45237,0.161,0.961,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0.44909056813935977,0.0,0.45541056879733627,0.0,0.0,0.45223002415207986,0.43557837144276973,0.44348434360485317
2024-10-29,3102975,124119,195,10493,0.0434,-0.618,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.49691944267056587,0.0,0.5105208014242552,0.49172281227673104,0.5006478350055787
2024-07-22,5263732,181508,19783,26642,0.0433,-0.211,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.5102034507612782,0.4931422654801692,0.49965073427278694,0.0,0.0,0.4968423176109652
2024-06-06,11659452,416409,574,51886,0.0402,-0.582,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.44494986114925006,0.4569154971856785,0.4416362591804021,0.4474649540860503,0.0,0.0,0.44494986114925006
2024-03-04,24684,4114,11098,18071,1.3484,-0.492,0,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,0.5015406134249801,0.0,0.0,0.0,0.49807921197948424,0.5050467318032039,0.0,0.4952796284666808
2024-06-02,227409,10829,34182,45018,0.3959,0.697,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0.0,0.7134373910665139,0.0,0.0,0.0,0.0,0.7007189800684767,0.0
2024-09-25,1483496,105964,12538,54749,0.1168,0.619,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0.7021488897511138,0.0,0.7120301514832628,0.0,0.0,0.0,0.0,0.0
2024-06-21,4002854,235462,29597,10648,0.0689,-0.837,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.0,0.0,0.5878997983934308,0.5682404500057421,0.5757400611614891,0.0,0.0,0.0
2024-07-03,5971440,248810,24381,70317,0.0575,0.3,1,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,0.5053678511905296,0.0,0.0,0.49534252816171453,0.0,0.5089007246276828,0.4901623886538493,0.0
2024-03-15,4840182,268899,40946,70032,0.0785,0.78,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.7097446247699346,0.0,0.7044590602797189,0.0,0.0,0.0,0.0
2024-07-27,2694492,449082,13408,32098,0.1836,-0.123,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0,0.7134373910665139,0.0,0.0,0.0,0.0,0.7007189800684767,0.0
2024-09-12,3249012,124962,33626,93849,0.0777,0.182,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.45152454806856407,0.0,0.4578788018501762,0.4425673509711166,0.0,0.0,0.4379391180023773,0.44588793893245665
2024-08-26,4499770,449977,31029,70314,0.1225,-0.393,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0.5078932736945281,0.0,0.0,0.4978178521556333,0.0,0.0,0.49261182647227,0.5015529852674204
2024-08-05,2043270,408654,2496,92773,0.2466,0.656,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.7141548858132769,0.0,0.0,0.6999877135129056,0.0,0.0,0.0,0.0
2024-01-25,2263959,251551,3056,48748,0.134,-0.085,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.702178415688985,0.7120010340866839,0.0,0.0
2024-09-02,10736088,447337,881,58336,0.0472,-0.177,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.5856151791021516,0.5783046488488348,0.0,0.0,0.0,0.0,0.5679952421675563,0.0
2024-07-14,5085840,211910,39739,72616,0.0638,-0.735,1,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.45035420788174546,0.4447322086936853,0.45669199159857443,0.0,0.44724607134320726,0.0,0.43680399090603106,0.0
2024-10-01,5380643,233941,17024,83614,0.0622,0.59,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.7001692752207828,0.0,0.0,0.0,0.7139768806038496,0.0,0.0
2024-03-24,9314838,344994,14103,28252,0.0416,-0.498,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.5797955486134646,0.0,0.0,0.5682937531355254,0.0,0.583848723519329,0.0,0.0
2024-09-15,872559,32317,8313,5950,0.0534,-0.143,0,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.0,0.0,0.4572253424247754,0.4419357432057032,0.0,0.45403212357092887,0.4373141153963296,0.4452515922066624
2024-08-14,501675,100335,9209,66618,0.3511,-0.115,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0.5031586004853426,0.4968774173768307,0.0,0.4931771038533174,0.0,0.5066760297205862,0.0,0.0
2024-04-12,3546940,177347,7810,5238,0.0537,-0.634,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.5022494121148234,0.4959795788642487,0.5093175111581527,0.49228595166592115,0.0,0.0,0.0,0.0
2024-07-14,2065008,187728,49017,3344,0.1163,0.314,1,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,0.45085997567796227,0.4452316627348846,0.4572048770076552,0.0,0.0,0.0,0.4372945412062012,0.4452316627348846
2024-02-11,119448,17064,47898,59639,1.0431,-0.505,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,0.45151731796493966,0.44588079908586986,0.0,0.0,0.0,0.4546737386499815,0.4379321054374616,0.44588079908586986
2024-01-05,1750190,67315,3511,13285,0.0481,-0.971,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.5015505227037119,0.0,0.5086087863555825,0.49160092659558896,0.49808905286895544,0.0,0.0,0.0
2024-09-30,8639395,454705,9440,54341,0.06,-0.919,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.0,0.5077136249767319,0.4907356993814687,0.497212406426114,0.5041678006988547,0.0,0.0
2024-06-01,4403673,489297,13250,60404,0.1278,-0.052,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.5878997983934308,0.5682404500057421,0.5757400611614891,0.0,0.0,0.0
2024-07-05,1919464,239933,35252,94759,0.1927,-0.654,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.5735706014453743,0.5889951192559071,0.5692991433774613,0.0,0.0,0.0,0.0
2024-03-29,828814,59201,37225,26647,0.1485,0.898,0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.5810975122241011,0.0,0.0,0.0,0.5770870458432217,0.0,0.0,0.5738433782896726
2024-09-28,5034722,359623,2854,40159,0.08,0.252,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.44320584474979424,0.4551245805232952,0.43990523070763093,0.4457110795796235,0.4519460331932878,0.0,0.0
2024-06-19,10165036,363037,9828,60161,0.0426,0.317,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0.5078932736945281,0.0,0.0,0.4978178521556333,0.0,0.0,0.49261182647227,0.5015529852674204
2024-03-02,7958540,397927,27668,51992,0.06,0.285,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.0,0.0,0.7226670133642387,0.0,0.0,0.0,0.6911963453283092,0.0
2024-06-26,2275296,94804,49120,91008,0.1033,0.151,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.44769123138722144,0.0,0.45399153933770936,0.4388100783790679,0.4446014734813219,0.45082090506093914,0.0,0.0
2024-05-02,2328425,465685,11943,35196,0.2202,-0.083,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,0.0,0.49972943990148283,0.5131682138323362,0.4960078869793809,0.0,0.0,0.4908207893540468,0.0
2024-11-14,1816430,363286,28079,97857,0.2693,0.303,0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.5829501529468796,0.0,0.5693397206189804,0.5796735302777858
2024-06-11,1412462,83086,24112,20765,0.0906,-0.571,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.5044365740972876,0.0,0.0,0.0,0.0,0.5079629372586137,0.48925913174218244,0.49813943739828415
2024-12-13,6109191,265617,12166,97533,0.0614,0.237,1,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,0.0,0.6976637318627725,0.7164253745110578,0.0,0.0,0.0,0.0,0.0
2024-06-23,329400,27450,27477,94298,0.453,-0.229,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.45152454806856407,0.0,0.4578788018501762,0.4425673509711166,0.0,0.0,0.4379391180023773,0.44588793893245665
2024-04-14,2451726,408621,9822,76798,0.202,-0.479,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.5010593858569637,0.0,0.5081107377956636,0.0,0.0,0.5045621401191516,0.48598355603844273,0.0
2024-05-03,7065050,282602,3272,82746,0.0522,-0.303,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,0.5773238265014456,0.0,0.0,0.0,0.5733394043548028,0.5813597223473679,0.0,0.0
2024-11-10,91504,11438,417,7544,0.212,-0.164,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,0.5851737461890298,0.5656055568902808,0.0,0.581086947698821,0.0,0.0
2024-10-14,1982304,220256,27389,44426,0.1473,0.501,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.0,0.501506726021786,0.0,0.0,0.5043415083973044,0.0,0.4925663918877842,0.501506726021786
2024-02-29,6190780,309539,48821,83043,0.0713,-0.745,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.0,0.0,0.5864753432423383,0.0,0.5743450685146929,0.0,0.0,0.5711168129565389
2024-11-21,1909980,70740,34916,59032,0.0862,0.862,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.0,0.5776875251484964,0.0,0.5733854077913481,0.5809529218617933,0.0,0.0,0.0
2024-08-03,1662552,61576,44816,36209,0.0858,0.502,0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,0.7115340533700861,0.702651614169309,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-11,2372076,112956,2919,21353,0.0579,0.069,1,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0.0,0.0,0.5097007074710146,0.0,0.0,0.5061410055956025,0.48750428579151295,0.49635274008826274
